Subject,Start_Date,Start_Time,End_Date,End_Time,Location,All_Day_Event
21726 - Base de Dades II / 01M01,07/12/2017,16:30,07/12/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21726 - Base de Dades II / 01M01,16/11/2017,16:30,16/11/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21726 - Base de Dades II / 01G,16/11/2017,15:30,16/11/2017,16:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21726 - Base de Dades II / 01M01,14/12/2017,16:30,14/12/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21726 - Base de Dades II / 01G,14/12/2017,15:30,14/12/2017,16:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21748 - Seguretat en Sistemes Informàtics / 01M01,15/11/2017,16:30,15/11/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21748 - Seguretat en Sistemes Informàtics / 01G,13/12/2017,15:30,13/12/2017,16:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21748 - Seguretat en Sistemes Informàtics / 01M01,13/12/2017,16:30,13/12/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21726 - Base de Dades II / 01M01,23/11/2017,16:30,23/11/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21726 - Base de Dades II / 01M01,26/10/2017,16:30,26/10/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21748 - Seguretat en Sistemes Informàtics / 01M01,11/10/2017,16:30,11/10/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21710 - Teoria de la Computació / 01X01,09/10/2017,12:30,09/10/2017,13:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21748 - Seguretat en Sistemes Informàtics / 01G,11/10/2017,15:30,11/10/2017,16:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21710 - Teoria de la Computació / 01G,13/10/2017,12:30,13/10/2017,14:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21713 - Comunicacions de Dades i Xarxes / 01G,13/10/2017,11:30,13/10/2017,12:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21748 - Seguretat en Sistemes Informàtics / 01G,10/10/2017,15:30,10/10/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
